"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"44","442.4818059974359","263.12755444192106","0.0098876953125","0.01318359375","0.006591796875","2400","0.0002082700830083157","32","0.0002082700830083157","0","0.0002082700830083157","0.0002082700830083157","45:0.005806063433131614;54:0.0032122339080292717;43:0.0019062782720580262;34:0.0026175083746894368","45:508;54:128;43:188;34:128","0.0098876953125","Yes"
"45","211.34854815185417","179.56274222550113","0.0076904296875","0.010498046875","0.0048828125","2400","0.00034487397254103256","32","0.00034487397254103256","0","0.00034487397254103256","0.00034487397254103256","44:0.005806063433131614;46:0.0038665415194224506;55:0.002468757854494741;35:0.003761574263543843","44:508;46:128;55:128;35:148","0.0076904296875","Yes"
"46","423.57187433044527","230.7333083016404","0.013671875","0.01806640625","0.00927734375","2400","0.0002298663420079647","32","0.0002298663420079647","0","0.0002298663420079647","0.0002298663420079647","36:0.003131039195272356;45:0.0038665415194224506;47:0.0035074211532079846;56:0.003197843186005328","36:148;45:128;47:208;56:188","0.013671875","Yes"
"47","256.91823351507526","184.43549511919554","0.0130615234375","0.01953125","0.006591796875","2400","0.0002699848305427308","32","0.0002699848305427308","0","0.0002699848305427308","0.0002699848305427308","48:0.029274426125950492;57:0.0026610474658173566;46:0.0035074211532079846;37:0.014886699476248488","48:128;57:168;46:208;37:148","0.0130615234375","Yes"
"48","306.5080344508225","46.13143565157853","0.1444091796875","0.279541015625","0.00927734375","2400","0.0006989274128731282","32","0.0006989274128731282","0","0.0006989274128731282","0.0006989274128731282","47:0.029274426125950492;49:0.03793751568664139;38:0.12172702809992875;58:0.0636805028453582","47:128;49:128;38:188;58:248","0.1444091796875","Yes"
"49","213.69621031489845","230.0662077520058","0.008056640625","0.013916015625","0.002197265625","2400","0.00025193558414471606","32","0.00025193558414471606","0","0.00025193558414471606","0.00025193558414471606","48:0.03793751568664139;59:0.001663857272586472;39:0.001700806070566524","48:128;59:128;39:208","0.008056640625","Yes"
"50","381.78861046692225","320.3005268588075","0.0123291015625","0.01513671875","0.009521484375","2400","0.00008377548731311219","32","0.00008377548731311219","0","0.00008377548731311219","0.00008377548731311219","40:0.0011995502876209485;51:0.002255400313094541;60:0.010029776955599062","40:128;51:128;60:68","0.0123291015625","Yes"
"51","213.86106713724976","162.7804626423799","0.0843505859375","0.012451171875","0.15625","2400","0.00022150632785861434","32","0.00022150632785861434","0","0.00022150632785861434","0.00022150632785861434","41:0.0022578476460431707;50:0.002255400313094541;52:0.002574903918562743;61:0.002279649674683193","41:128;50:128;52:128;61:128","0.0843505859375","Yes"
"52","239.21237590002198","205.25300118462602","0.0595703125","0.0517578125","0.0673828125","2400","0.00023322852050125233","32","0.00023322852050125233","0","0.00023322852050125233","0.00023322852050125233","42:0.0030136041265884095;51:0.002574903918562743;53:0.002174378430549767;62:0.0038053370183480095","42:128;51:128;53:128;62:128","0.0595703125","Yes"
"53","434.09063637344315","283.5890681634338","0.016845703125","0.02392578125","0.009765625","2400","0.00023743894509359954","32","0.00023743894509359954","0","0.00023743894509359954","0.00023743894509359954","52:0.002174378430549767;54:0.0019240123483419969;63:0.0032066358237269887;43:0.001512413608491553","52:128;54:148;63:228;43:128","0.016845703125","Yes"
"54","317.02131657185873","178.04713964886773","0.0096435546875","0.01611328125","0.00537109375","2400","0.00038634957503793835","32","0.00038634957503793835","0","0.00038634957503793835","0.00038634957503793835","44:0.0032122339080292717;53:0.0019240123483419969;55:0.0038748546467125;64:0.0029188882258494864","44:128;53:148;55:228;64:208","0.0096435546875","Yes"
"55","370.85781179571023","173.57324822884954","0.0107421875","0.013916015625","0.007568359375","2400","0.00023389286541876912","32","0.00023389286541876912","0","0.00023389286541876912","0.00023389286541876912","56:0.0028020498372402225;45:0.002468757854494741;65:0.003111818323317389;54:0.0038748546467125","56:168;45:128;65:148;54:228","0.0107421875","Yes"
"56","309.527243419367","241.3110789823069","0.0130615234375","0.01708984375","0.009033203125","2400","0.00028165053937402465","32","0.00028165053937402465","0","0.00028165053937402465","0.00028165053937402465","55:0.0028020498372402225;46:0.003197843186005328;57:0.002105852323101731;66:0.002094706731528395","55:168;46:188;57:128;66:128","0.0130615234375","Yes"
"57","249.7477273372766","216.56054039921372","0.0089111328125","0.01220703125","0.005615234375","2400","0.00018812265356148438","32","0.00018812265356148438","0","0.00018812265356148438","0.00018812265356148438","47:0.0026610474658173566;56:0.002105852323101731;58:0.0023784716979322884;67:0.005229066145374578","47:168;56:128;58:168;67:308","0.0089111328125","Yes"
"58","328.6570021544266","429.1712169644332","0.010986328125","0.013671875","0.00830078125","2400","0.00023200671756937012","32","0.00023200671756937012","0","0.00023200671756937012","0.00023200671756937012","48:0.0636805028453582;57:0.0023784716979322884;59:0.001924308239879935;68:0.0059839319262986745","48:248;57:168;59:168;68:248","0.010986328125","Yes"
"59","306.58685620518526","402.4888085067634","0.0133056640625","0.017578125","0.009033203125","2400","0.0001734015977735891","32","0.0001734015977735891","0","0.0001734015977735891","0.0001734015977735891","49:0.001663857272586472;58:0.001924308239879935;69:0.002187003674847865","49:128;58:168;69:128","0.0133056640625","Yes"
"60","200.49192577703374","201.48181450691158","0.0118408203125","0.018798828125","0.0048828125","2400","0.0008218734801906705","32","0.0008218734801906705","0","0.0008218734801906705","0.0008218734801906705","61:0.0376409367120801;50:0.010029776955599062;70:0.021400136271138598","61:128;50:68;70:128","0.0118408203125","Yes"
"61","339.0608753638443","236.08289352658397","0.005859375","0.007080078125","0.004638671875","2400","0.00018301185686775892","32","0.00018301185686775892","0","0.00018301185686775892","0.00018301185686775892","51:0.002279649674683193;60:0.0376409367120801;62:0.002811224691380315;71:0.012769996928897104","51:128;60:128;62:288;71:188","0.005859375","Yes"
"62","505.331356921883","321.88252079518946","0.0091552734375","0.01513671875","0.003173828125","2400","0.0002054570872705212","32","0.0002054570872705212","0","0.0002054570872705212","0.0002054570872705212","72:0.0017964934534346888;52:0.0038053370183480095;61:0.002811224691380315;63:0.002050518541772295","72:128;52:128;61:288;63:128","0.0091552734375","Yes"
"63","257.31327642281195","246.5736726335227","0.014404296875","0.01513671875","0.013671875","2400","0.00031748700096602287","32","0.00031748700096602287","0","0.00031748700096602287","0.00031748700096602287","53:0.0032066358237269887;62:0.002050518541772295;64:0.0030512522879141135;73:0.003063240893418029","53:228;62:128;64:188;73:148","0.014404296875","Yes"
"64","265.19658544932014","202.93291113547176","0.0118408203125","0.017578125","0.006103515625","2400","0.00019565108760161395","32","0.00019565108760161395","0","0.00019565108760161395","0.00019565108760161395","65:0.002409233799229471;54:0.0029188882258494864;63:0.0030512522879141135;74:0.008247081031529657","65:128;54:208;63:188;74:208","0.0118408203125","Yes"
"65","382.48168788869395","247.23186760089362","0.012939453125","0.015869140625","0.010009765625","2400","0.00024629532323463627","32","0.00024629532323463627","0","0.00024629532323463627","0.00024629532323463627","55:0.003111818323317389;64:0.002409233799229471;66:0.002784782291924859;75:0.00366477762648984","55:148;64:128;66:128;75:208","0.012939453125","Yes"
"66","177.48060514282065","134.95686174995006","0.015625","0.0224609375","0.0087890625","2400","0.00046633936727906786","32","0.00046633936727906786","0","0.00046633936727906786","0.00046633936727906786","56:0.002094706731528395;65:0.002784782291924859;67:0.0068337678692528825;76:0.0022224117042411173","56:128;65:128;67:68;76:228","0.015625","Yes"
"67","308.17797607619354","253.8509195535563","0.039794921875","0.03857421875","0.041015625","2400","0.00022661131385642066","32","0.00022661131385642066","0","0.00022661131385642066","0.00022661131385642066","68:0.002367500888378643;77:0.0033865971880641665;57:0.005229066145374578;66:0.0068337678692528825","68:188;77:208;57:308;66:68","0.039794921875","Yes"
"68","124.58007465104362","128.0277925542055","0.03271484375","0.014892578125","0.050537109375","2400","0.00022641775181216035","32","0.00022641775181216035","0","0.00022641775181216035","0.00022641775181216035","67:0.002367500888378643;58:0.0059839319262986745;69:0.002349957874626052;78:0.0030434354599403746","67:188;58:248;69:168;78:228","0.03271484375","Yes"
"69","193.56452519639257","167.03348373512137","0.010498046875","0.01123046875","0.009765625","2400","0.0001840625597436367","32","0.0001840625597436367","0","0.0001840625597436367","0.0001840625597436367","68:0.002349957874626052;59:0.002187003674847865;79:0.0012706384712308783","68:168;59:128;79:188","0.010498046875","Yes"
"70","291.8763297183366","249.74162050796662","0.007080078125","0.01171875","0.00244140625","2400","0.00023212106292316956","32","0.00023212106292316956","0","0.00023212106292316956","0.00023212106292316956","60:0.021400136271138598;71:0.0030354515835823437;80:0.005627379825934614","60:128;71:68;80:208","0.007080078125","Yes"
"71","415.75137880813736","231.42997969056577","0.010498046875","0.01025390625","0.008056640625","2400","0.00019062508422763207","32","0.00019062508422763207","0","0.00019062508422763207","0.00019062508422763207","72:0.0028997472357682186;81:0.005133219949556872;61:0.012769996928897104;70:0.0030354515835823437","72:128;81:208;61:188;70:68","0.010498046875","Yes"
"72","336.17822084408095","257.68627955105285","0.0185546875","0.011962890625","0.025146484375","2400","0.0002410448547857486","32","0.0002410448547857486","0","0.0002410448547857486","0.0002410448547857486","73:0.00207973053731339;62:0.0017964934534346888;82:0.006638228374183736;71:0.0028997472357682186","73:128;62:128;82:188;71:128","0.0185546875","Yes"
"73","18.74560772986975","265.8550471147556","0.01953125","0.0302734375","0.0087890625","2400","0.00020676532164500873","32","0.00020676532164500873","0","0.00020676532164500873","0.00020676532164500873","72:0.00207973053731339;74:0.0036871272696773205;83:0.0021753946761635945;63:0.003063240893418029","72:128;74:288;83:168;63:148","0.01953125","Yes"
"74","20.79969970980748","303.0312020149998","0.013916015625","0.025390625","0.00244140625","2400","0.00022203667861842298","32","0.00022203667861842298","0","0.00022203667861842298","0.00022203667861842298","73:0.0036871272696773205;75:0.03736059770815359;84:0.002273472966130813;64:0.008247081031529657","73:288;75:128;84:168;64:208","0.013916015625","Yes"
"75","204.72444906386005","104.12656732847385","0.009521484375","0.01708984375","0.001953125","2400","0.00044121052576927283","32","0.00044121052576927283","0","0.00044121052576927283","0.00044121052576927283","74:0.03736059770815359;76:0.0032060210451504423;85:0.0031618964813142914;65:0.00366477762648984","74:128;76:148;85:128;65:208","0.009521484375","Yes"
"76","448.8593849680982","330.30500933414214","0.0087890625","0.01220703125","0.00537109375","2400","0.00022007830468077834","32","0.00022007830468077834","0","0.00022007830468077834","0.00022007830468077834","75:0.0032060210451504423;77:0.002326216998972841;66:0.0022224117042411173;86:0.017159971997573048","75:148;77:148;66:228;86:168","0.0087890625","Yes"
"77","456.46144773683346","277.916100377773","0.0107421875","0.01220703125","0.00927734375","2400","0.00018513258362618825","32","0.00018513258362618825","0","0.00018513258362618825","0.00018513258362618825","67:0.0033865971880641665;78:0.0033203667258836778;87:0.002205949767126736;76:0.002326216998972841","67:208;78:208;87:248;76:148","0.0107421875","Yes"
"78","323.91464788965527","269.57074612305155","0.00830078125","0.0126953125","0.00390625","2400","0.0002324491546374496","32","0.0002324491546374496","0","0.0002324491546374496","0.0002324491546374496","77:0.0033203667258836778;79:0.0038360454032477787;88:0.005321081400511268;68:0.0030434354599403746","77:208;79:288;88:268;68:228","0.00830078125","Yes"
"79","357.5972972567657","441.80838857439625","0.0142822265625","0.01953125","0.009033203125","2400","0.00022560676965907136","32","0.00022560676965907136","0","0.00022560676965907136","0.00022560676965907136","78:0.0038360454032477787;89:0.002559283185573219;69:0.0012706384712308783","78:288;89:68;69:188","0.0142822265625","Yes"
"80","390.33770194266026","304.2923974648063","0.015869140625","0.021728515625","0.010009765625","2400","0.00038704957209441886","32","0.00038704957209441886","0","0.00038704957209441886","0.00038704957209441886","81:0.0019248301353296249;90:0.002715957300424149;70:0.005627379825934614","81:128;90:88;70:208","0.015869140625","Yes"
"81","136.92490934674606","155.28773338249948","0.0054931640625","0.00927734375","0.001708984375","2400","0.00020566233822061776","32","0.00020566233822061776","0","0.00020566233822061776","0.00020566233822061776","80:0.0019248301353296249;82:0.0023213183703993945;71:0.005133219949556872;91:0.0014264450304788678","80:128;82:68;71:208;91:88","0.0054931640625","Yes"
"82","170.06696946287622","172.45606283453728","0.011474609375","0.0185546875","0.00439453125","2400","0.000206512551188419","32","0.000206512551188419","0","0.000206512551188419","0.000206512551188419","72:0.006638228374183736;81:0.0023213183703993945;83:0.003340128588871033;92:0.00520553702384835","72:188;81:68;83:68;92:168","0.011474609375","Yes"
"83","401.2356635873056","362.1762193206882","0.062744140625","0.0498046875","0.07568359375","2400","0.0004892828997440457","32","0.0004892828997440457","0","0.0004892828997440457","0.0004892828997440457","73:0.0021753946761635945;82:0.003340128588871033;84:0.004584761142203436;93:0.0023415158442161577","73:168;82:68;84:168;93:128","0.062744140625","Yes"
"84","243.51844830346798","180.5041385031507","0.016845703125","0.02392578125","0.009765625","2400","0.00029446875315763244","32","0.00029446875315763244","0","0.00029446875315763244","0.00029446875315763244","74:0.002273472966130813;83:0.004584761142203436;85:0.003366099325679467;94:0.004205880779073995","74:168;83:168;85:148;94:208","0.016845703125","Yes"
"85","304.2154158705787","280.4977118837727","0.03662109375","0.03076171875","0.04248046875","2400","0.00036410893551236726","32","0.00036410893551236726","0","0.00036410893551236726","0.00036410893551236726","86:0.0022584477203633213;75:0.0031618964813142914;95:0.002496414420623566;84:0.003366099325679467","86:168;75:128;95:188;84:148","0.03662109375","Yes"
"86","127.52751083229761","106.67290915590142","0.0784912109375","0.052001953125","0.10498046875","2400","0.0001517898218484116","32","0.0001517898218484116","0","0.0001517898218484116","0.0001517898218484116","85:0.0022584477203633213;87:0.012184190157220554;96:0.0064801829600427685;76:0.017159971997573048","85:168;87:128;96:208;76:168","0.0784912109375","Yes"
